          MJD       m       dm    uJy   duJy  F  err     chi/N         RA       Dec         x         y    maj   min   phi  apfit    Sky     ZP             Obs  Mask  o0_Nmasked  o1_mean  o1_mean_err  o1_stddev    o1_X2norm  o1_Nvalid  o1_Nnan  Noffsetlc  o2_mean  o2_mean_err  o2_stddev  o2_X2norm  o2_Nused  o2_Nskipped  o2_Nin
 57937.506912  15.618    0.006   2055     13  o    0    584.61  299.61892  62.13773   3882.14   6560.01   3.59  3.47  67.4 -0.416  19.28  21.10  01a57937o0533o     4           6   2065.0      369.279    904.545    3376.6004          7        0          7    3.000       15.000        NaN        NaN         1            0       1
 57937.517263  15.133    0.004   3213     13  o    0   1350.72  299.61892  62.13773   3899.80   6637.99   3.45  3.36  84.6 -0.409  19.35  21.20  01a57937o0554o  1028           6   3237.0      560.228   1372.273    7703.9371          7        0          7   52.000       15.000        NaN        NaN         1            0       1
 57937.522684  16.281    0.010   1116     11  o    0    240.71  299.61892  62.13773   3853.38   6585.18   3.48  3.37  59.0 -0.414  19.35  21.20  01a57937o0565o     4           7    152.0      230.816    565.382    1955.0087          7        0          7      NaN          NaN        NaN        NaN         0            0       0
 57937.534015  15.555    0.006   2177     13  o    0    583.33  299.61892  62.13773   3833.54   6742.93   3.77  3.66  60.1 -0.400  19.25  21.18  01a57937o0588o  1540           5   2135.0      510.543   1250.569    6024.7375          7        0          7   56.148       10.943     64.829    11.0790         2            0       2
 57939.511266  22.177    2.750      5     13  o    0      1.30  299.61892  62.13773   7145.85   5771.60   2.08  1.89  46.5 -0.516  19.29  20.08  02a57939o0298o     0           0     19.0        4.824     11.816       0.4862          7        0          7   17.396        5.814     11.482     0.4736         7            0       7
 57939.512241  20.279    0.564     28     16  o    0      0.85  299.61892  62.13773   7126.51   5732.10   2.12  1.92  53.4 -0.517  19.31  20.08  02a57939o0300o  1024           0     19.0       12.736     31.197       3.3969          7        0          7   21.433        7.056     26.390     2.0889         6            1       7
 57939.530981  22.939    5.815      2     14  o    0      0.88  299.61892  62.13773   7182.22   5812.95   2.11  1.94  46.3 -0.510  19.37  20.21  02a57939o0338o     0           0      4.0        4.280     10.484       0.4236          7        0          7    2.861        5.876     10.464     0.4174         7            0       7
 57939.533286  20.344    0.658     26     17  o    0      1.24  299.61892  62.13773   7199.87   5699.31   2.07  1.87  46.1 -0.524  19.39  20.24  02a57939o0342o     0           0     -1.0        6.981     17.101       1.0245          7        0          7   -0.012        6.105     16.958     1.0201         7            0       7
 57941.489441  19.955    0.546     38     21  o    0      1.17  299.61892  62.13773   2915.75   4447.73   3.11  2.94  74.5 -0.453  18.81  19.80  01a57941o0492o  1024           0     18.0       15.242     37.335       3.7160          7        0          7   32.781        8.282     25.930     1.5998         6            1       7
 57941.498953 -20.676    0.884    -20     17  o    0      1.54  299.61892  62.13773   2929.63   4523.04   2.97  2.82  64.5 -0.465  18.89  19.81  01a57941o0511o     0           1      5.0       14.691     35.984       3.4870          7        0          7    8.783        8.136     31.527     2.3411         6            0       6
